start_date,end_date
19850327,19850512
19870301,19870417
19890321,19890506
19940131,19940306
19941224,19950202
19960316,19960418
19990225,19990504
19991117,19991223
20040111,20040222
20041213,20050121
20060213,20060315
20100205,20100315
20101108,20110128
20151015,20151112
20161107,20170115
20170220,20170412
19811223,19820212
19850123,19850326
19851223,19860206
19860228,19860420
19880226,19880416
19881027,19881229
19900206,19900327
19920117,19920315
19941101,19941223
19951011,19951225
19970116,19970320
19990102,19990224
20020108,20020309
20030129,20030317
20031027,20040110
20071130,20080122
20130202,20130321
20150202,20150322
20160104,20160225
20180216,20180408
20210315,20210501
19800218,19800401
19810312,19810502
19830120,19830306
19851022,19851128
19880108,19880225
19881230,19890217
19900328,19900502
19901010,19901120
19920316,19920423
19930105,19930222
19961116,19970107
19970321,19970423
19981015,19981201
20001104,20001228
20010117,20010302
20021210,20030126
20050316,20050424
20081003,20081108
20091025,20091212
20091213,20100204
20111014,20111118
20111119,20111212
20120110,20120213
20120214,20120408
20121011,20121125
20130322,20130428
20160226,20160406
20181127,20190106
20190221,20190401
20200122,20200221
20201107,20201209
19791015,19791218
19811014,19811222
19831012,19831213
19841101,19850122
19861221,19870219
19891216,19900205
19910104,19910312
19931027,19940104
19951226,19960315
20041017,20041212
20070211,20070402
20080123,20080313
20090118,20090401
20191119,20200121
