"start_date","end_date"
19791023,19791218
19810316,19810429
19821015,19821121
19851030,19851202
19861018,19861124
19870325,19870420
19880113,19880228
19880301,19880414
19881228,19890217
19900329,19900426
19901008,19901204
19911003,19911118
19911215,19920119
19920320,19920424
19930107,19930215
19940127,19940308
19950316,19950419
19961119,19970109
19970325,19970420
19990113,19990224
20001227,20010307
20021025,20021209
20030315,20030413
20031128,20040116
20061209,20070113
20070213,20070315
20080123,20080219
20080301,20080409
20091029,20091209
20121211,20130202
20130203,20130320
20140312,20140419
20141112,20141215
20170117,20170216
20171228,20180220
20180221,20180406
20201230,20210225
20210316,20210430
